Дата;Запуск;Космодром;Стартовый комплекс;Ракета-носитель;Результат
08.11.06 00:00:00;Запуск космического аппарата Arabsat 4B;Байконур  ;СК РН типа Протон. Пл. №200. ПУ №39  ;Протон-М  ;Успешный 
23.10.06 00:00:00;Запуск грузового космического корабля «Прогресс М-58»;Байконур  ;СК 17П32-5 РН типа Р-7. Пл. №1. ПУ №5  ;Союз-У  ;Успешный 
19.10.06 00:00:00;Запуск космического аппарата Metop;Байконур  ;СК 17П32-6 РН типа Р-7. Пл. №31. ПУ №6  ;Союз-2 с РБ Фрегат  ;Успешный 
18.09.06 00:00:00;Запуск пилотируемого космического корабля «Союз ТМА-9»;Байконур  ;СК 17П32-5 РН типа Р-7. Пл. №1. ПУ №5  ;Союз-ФГ  ;Успешный 
05.08.06 00:00:00;Запуск космического аппарата Hot Bird 8;Байконур  ;СК РН типа Протон. Пл. №200. ПУ №39  ;Протон-М  ;Успешный 
28.07.06 00:00:00;Запуск космического аппарата Kompsat-2;Плесецк  ;СК 133/3 РН Рокот  ;Рокот  ;Успешный 
26.07.06 00:00:00;Групповой запуск КА ракетой РС-20;Байконур  ;СК ракеты РС-20. Пл. №109  ;РС-20  ;Аварийный 
24.06.06 00:00:00;Запуск грузового космического корабля «Прогресс М-57»;Байконур  ;СК 17П32-5 РН типа Р-7. Пл. №1. ПУ №5  ;Союз-У  ;Успешный 
18.06.06 00:00:00;Запуск космического аппарата «Казсат»;Байконур  ;СК РН типа Протон. Пл. №200. ПУ №39  ;Протон-К с РБ  ;Успешный 
15.06.06 00:00:00;Запуск космического аппарата «Ресурс-ДК»;Байконур  ;СК 17П32-5 РН типа Р-7. Пл. №1. ПУ №5  ;Союз-У  ;Успешный 
24.04.06 00:00:00;Запуск грузового космического корабля «Прогресс М-56»;Байконур  ;СК 17П32-5 РН типа Р-7. Пл. №1. ПУ №5  ;Союз-У  ;Успешный 
30.03.06 00:00:00;Запуск пилотируемого космического корабля «Союз ТМА-8»;Байконур  ;СК 17П32-5 РН типа Р-7. Пл. №1. ПУ №5  ;Союз-ФГ  ;Успешный 
28.02.06 00:00:00;Запуск космического аппарата Arabsat 4A;Байконур  ;СК РН типа Протон. Пл. №200. ПУ №39  ;Протон-М  ;Частично успешный 
25.12.07 00:00:00;Запуск блока КА «Глонасс-М» № 21, 22, 23  (блок № 37);Байконур  ;СК РН типа Протон. Пл. №81. ПУ №24  ;Протон-М  ;Успешный 
23.12.07 00:00:00;Запуск КА  «Прогресс М-62»;Байконур  ;СК 17П32-5 РН типа Р-7. Пл. №1. ПУ №5  ;Союз-У  ;Успешный 
14.12.07 00:00:00;Запуск КА «Радарсат-2»;Байконур  ;СК 17П32-6 РН типа Р-7. Пл. №31. ПУ №6  ;Союз-ФГ  ;Успешный 
18.11.07 00:00:00;Запуск космичсекого аппарата Sirius 4;Байконур  ;СК РН типа Протон. Пл. №200. ПУ №39  ;Протон-М  ;Успешный 
26.10.07 00:00:00;Запуск блока КА «Глонасс-М» № 18, 19, 20 (блок № 36);Байконур  ;СК РН типа Протон. Пл. №81. ПУ №24  ;Протон-К с РБ  ;Успешный 
21.10.07 00:00:00;Запуск космических аппаратов Globalstar;Байконур  ;СК 17П32-6 РН типа Р-7. Пл. №31. ПУ №6  ;Союз-У с РБ Фрегат  ;Успешный 
10.10.07 00:00:00;Запуск пилотируемого космического корабля «Союз ТМА-11»;Байконур  ;СК 17П32-5 РН типа Р-7. Пл. №1. ПУ №5  ;Союз-ФГ  ;Успешный 
11.09.07 00:00:00;Запуск КА «Фотон-М» с космодрома Байконур;Байконур  ;СК 17П32-5 РН типа Р-7. Пл. №1. ПУ №5  ;Союз-У  ;Успешный 
06.09.07 00:00:00;Запуск КА JCSat-11 с космодрома Байконур;Байконур  ;СК РН типа Протон. Пл. №200. ПУ №39  ;Протон-М  ;Аварийный 
02.08.07 00:00:00;Запуск грузового космического корабля «Прогресс М-61»;Байконур  ;СК 17П32-5 РН типа Р-7. Пл. №1. ПУ №5  ;Союз-У  ;Успешный 
07.07.07 00:00:00;Запуск космического аппарата DirecTV 10;Байконур  ;СК РН типа Протон. Пл. №200. ПУ №39  ;Протон-М  ;Успешный 
