Управление;Реестровый номер;Номер сертификата соответствия аэропорта;Наименование юридического лица;Наименование аэропорта
Саха;    29.СХ;ФАВТ СХ.А.00014       До 26.05.2012;ФКП «Аэропорты Севера»;Жиганск
Саха;    14.СХ;ФАВТ ДВ.А.00479       До 28.11.2011    ;ФКП «Аэропорты Севера»;Зырянка
Саха;    30.СХ;ФАВТ ДВ.А.00390        До 12.12.2010    ;АК «АЛРОСА» (ЗАО) Мирнинское авиапредприятие;Ленск
Саха;    15.СХ;ФАВТ ДВ.А.00467        До 18.07.2011;ФКП «Аэропорты Севера»;Маган
Саха;    6.СХ;ФАВТ ДВ.А.00212       До 10.11.2010;АК «АЛРОСА» (ЗАО) Мирнинское авиапредприятие;Мирный
Саха;    24.СХ;ФАВТ СХ.А.00008        До 29.04.2012    ;ФКП «Аэропорты Севера»;Мома
Саха;4.СХ;ФАВТ ДВ.А.00468       До 18.07.2011;ФКП «Аэропорты Севера»;Нерюнгри
Саха;    27.СХ;ФАВТ ДВ.А.00426        До 28.11.2011    ;ФКП «Аэропорты Севера»;    Нюрба
Саха;    16.СХ;ФАВТ ДВ.А.00466        До 11.07.2011;ФКП «Аэропорты Севера»;    Олекминск    
Саха;    26.СХ;ФАВТ СХ.А.00020         До 01.07.2012;АК «АЛРОСА» (ЗАО) Мирнинское авиапредприятие;Оленек
Саха;    7.СХ;ФАВТ ДВ.А.00420          До 31.08.2010    ;АК «АЛРОСА» (ЗАО) Мирнинское авиапредприятие;    Полярный
Саха;    25.СХ;ФАВТ СХ.А.00019           До 01.07.2012    ;АК «АЛРОСА» (ЗАО) Мирнинское авиапредприятие;    Саскылах
Саха;    32.СХ;ФАВТ СХ.А.00016          До 28.05.2012;ФКП «Аэропорты Севера»;    Саккырыр
Саха;    17.СХ;ФАВТ СХ.А.00017         До 28.05.2012;ФКП «Аэропорты Севера»;    Сангар
Саха;    18.СХ;ФАВТ СХ.А.00002        До 28.05.2012    ;ФКП «Аэропорты Севера»;    Среднеколымск
Саха;    28.СХ;ФАВТ СХ.А.00005        До 29.04.2012;ФКП «Аэропорты Севера»;    Сунтар
Саха;    22.СХ;ФАВТ СХ.А.00015        До 26.05.2012;ФКП «Аэропорты Севера»;    Усть-Куйга
Саха;    20.СХ;ФАВТ ДВ.А.00469        До 18.07.2011;ФКП «Аэропорты Севера»;    Усть-Мая
Саха;    23.СХ;ФАВТ СХ.А.00013          До 26.05.2012;ФКП «Аэропорты Севера»;    Усть-Нера
Саха;    19.СХ;ФАВТ СХ.А.00012          До 05.05.2012;ФКП «Аэропорты Севера»;    Хандыга
Саха;    9.СХ;ФАВТ СХ.А.00004         До 30.03.2012;ФКП «Аэропорты Севера»;    Черский
Саха;    5.СХ;ФАВТ СХ.А.00011         До 05.05.2012;ФКП «Аэропорты Севера»;    Чокурдах
Северо-Восточное;1.А-08.СВ;ФАВТ СВ.А.00001;ФГУП «ЧукотАВИА»;Беринговский
Северо-Восточное;2.А-08.СВ;ФАВТ СВ.А.00002;ФГУП «ЧукотАВИА»;Залив Креста
Северо-Восточное;3.А-08.СВ;ФАВТ СВ.А.00003;ФГУП «ЧукотАВИА»;Кепервеем
