Номер сертификата;Название;Полное название;Юридический адрес;Аэропорты базирования;Контролирующее МТУ;Типы ВС
423;Газпром авиа;"ООО Авиапредприятие ""Газпром авиа""-Доч.об щество ОАО ""Газпром""";142131 М.о.,Подольск.р-н,п/ оРязаново, а/пОстафьево;Остафьево, Белгород, Внуково, Надым, Пермь, Смышляевка, Советский, Сочи, Ухта, Белоярский;МТУ Центр.район;"FALCON-900; Ка-26;  Ан-74; Ми-2; Ми-8;  Ту-154М; Як-40; Як-42 Ми-171; B-737;EC-120B"
382;Геликс;"ЗАО ""Авиакомпания ""Геликс""";620089,Свердлов.о.г. Екатенбург,ул.Белинс кого,д.246;Б.Савино;Уральское МТУ;"Ми-2; Ми-8"
515;Глобус;"ООО ""Глобус""";633102,Новосибирская обл., г.Обь,а/п Толмачево;Домодедово, Новосибирск;Зап.-Сиб. МТУ;B-737
519;Грозный Авиа;"ООО ""Авиакомпания ""Грозный Авиа""";364903,Чеченская Республика, Грозный,пр-т Победы,4;Грозный;Южное МТУ;Як-42
26;ДАУРИЯ;"ОАО Авиакомпания ""ДАУРИЯ""";672018, г.Чита, ул. Звездная, 13;Чита;Вост.-Сиб. МТУ;"Ан-2; Ан-24; Ми-8"
114;Дельта К;"ООО Производственно-коммерч.авиац.предпри яти е ""ДЕЛЬТА К""";678980 Чульман, Республика Саха(Я), аэропорт;Нерюнгри (Чульм);Саха(Якут.) МТУ;"Ан-2; Ми-8"
491;Джет Эйр Групп;"ОАО ""Джет Эйр Групп""";101000 Москва, Бобров пер., д.4, стр.3;Шереметьево;МТУ Центр.район;"Ту-134; HS125-700"
485;ДЖЕТ-2000;"ООО ""Авиакомпания ДЖЕТ-2000""";121099,Москва,Малый Каковинский пер.4, оф.7;Внуково, Домодедово;МТУ Центр.район;"Як-40; Ан-74; CL-604"
507;ДЖЕТАЛЛИАНС Восток;"ЗАО ""ДЖЕТАЛЛИАНС Восток""";125167 г.Москва, Ленинградский пр-т, д.37, корп.9;Шереметьево;МТУ Центр.район;"Ту-134; Як-42"
89;ДОНАВИА;"ОАО ""ДОНАВИА""";344009 Ростов-на-Дону, просп.Шолохова,272;Ростов-на-Дону;Южное МТУ;"Ил-86; B-737; Ту-154М;"
532;ЗАО «Авиапредприятие «Ельцовка»;;;;Западно-сибирское МТУ ВТ Новосибирск (Ельцовка);Ми-8Т
511;Заполярье;"ЗАО ""Авиакомпания ""Заполярье""";663318, Красноярск.кр.Норильск, ул.Лауреатов, 57А;Валек, Норильск (Алык), Внуково;Красноярск. МТУ;"Ту-154Б; Ту-154М"
472;Зональное;"ОАО ""Авиапредприятие ""Зональное""";694404 Сахалин.о.,Тымовский р-н, п.Зональное, а/п;Зональное;Дальневост.МТУ;"Ан-2; Ми-2"
479;Ижавиа ОАО;"ОАО ""Ижавиа""";427000,Удмуртская Республика,Завьяловс кий р-н,а/п;Ижевск;Приволжск. МТУ;"Ан-24; Ан-26; Ту-134;  Як-42"
36;Икар ООО (Магадан);"ООО ""Авиакомпания ""Икар""";685000 г.Магадан, ул. Морская, д. 19/18;Магадан-Сокол;Сев.-Вост. МТУ;Ми-8
76;ИЛИН;"ООО ""Авиакомпания ""Илин""";677009 Р.Саха(Я) Якутск, ул.Халтурина, д.4/1;Маган;Саха(Якут.) МТУ;"Л-410УВП-Э; Ми-2;  Ми-8"
480;ИрАэро;"ЗАО Авиакомпания ""ИрАэро""";664000, г. Иркутск, ул.Ленина, д.18, кв.201;Иркутск;Вост.-Сиб. МТУ;"Ан-24; Ан-26"
