Фамилия;Имя;Отчество;День рождения;Выдвинувшая партия;Фракция и должность;Состоит в комитетах;Срок окончания полномочий;Адрес сайта
Слуцкий;Леонид;Эдуардович;4/01/1968;"""Либерально-демократическая партия России""";"Член фракции ""Либерально-демократическая партия России""";Первый заместитель председателя Комитета ГД по международным делам;02/12/2007;http://www.LSlutsky.ru/
Смолин;Олег;Николаевич;10/02/1952;"""Коммунистическая партия Российской Федерации""";Член фракции Коммунистической партии Российской Федерации;Заместитель председателя Комитета ГД по образованию;02/12/2007;http://www.smolin.ru/
Собко;Сергей;Васильевич;12/06/1949;"""Коммунистическая партия Российской Федерации""";Член фракции Коммунистической партии Российской Федерации;Председатель Комитета ГД по промышленности | Член Комиссии ГД по рассмотрению расходов федерального бюджета, направленных на обеспечение обороны и государственной безопасности РФ;02/12/2007;
Сокол;Святослав;Михайлович;22/03/1946;"""Коммунистическая партия Российской Федерации""";Член фракции Коммунистической партии Российской Федерации;Член Комитета ГД по строительству и земельным отношениям;02/12/2007;
Соколова;Ирина;Валерьевна;15/06/1956;"""Единая Россия""";"Член фракции ""Единая Россия""";Заместитель председателя Комитета ГД по вопросам семьи, женщин и детей;06/05/2009;
Соловьев;Александр;Александрович;26/07/1967;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по аграрным вопросам;17/12/2008;
Соловьев;Вадим;Георгиевич;29/07/1958;"""Коммунистическая партия Российской Федерации""";Член фракции Коммунистической партии Российской Федерации;Член Комитета ГД по конституционному законодательству и государственному строительству;02/12/2007;
Стальмахов;Владимир;Александрович;27/04/1970;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по безопасности;02/12/2007;
Стародубец;Анатолий;Сергеевич;9/10/1957;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по международным делам;02/12/2007;
Стародубцев;Василий;Александрович;25/12/1931;"""Коммунистическая партия Российской Федерации""";Член фракции Коммунистической партии Российской Федерации;Заместитель председателя Комиссии ГД по мандатным вопросам и вопросам депутатской этики | Член Комитета ГД по аграрным вопросам;02/12/2007;
Старшинов;Михаил;Евгеньевич;12/12/1971;"""Справедливая Россия: родина/пенсионеры/жизнь""";"Член фракции ""Справедливая Россия""";Член Комитета ГД по безопасности;02/12/2007;
Степанова;Зоя;Михайловна;6/07/1953;"""Единая Россия""";"Член фракции ""Единая Россия""";Заместитель председателя Комитета ГД по культуре;02/12/2007;http://www.duma.gov.ru/stepanova/
Сутягинский;Михаил;Александрович;1/01/1962;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по экономической политике и предпринимательству;02/12/2007;
Сысоев;Александр;Митрофанович;5/11/1951;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по аграрным вопросам;02/12/2007;
Тараканов;Павел;Владимирович;21/06/1982;"""Либерально-демократическая партия России""";"Член фракции ""Либерально-демократическая партия России""";Председатель Комитета ГД по делам молодежи;02/12/2007;
Таранин;Виктор;Иванович;19/02/1957;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по аграрным вопросам;02/12/2007;
Тарасенко;Михаил;Васильевич;21/11/1947;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по труду и социальной политике;02/12/2007;
Тарасюк;Василий;Михайлович;10/10/1948;"""Либерально-демократическая партия России""";"Член фракции ""Либерально-демократическая партия России""";Заместитель председателя Комитета ГД по вопросам местного самоуправления;02/12/2007;
Таскаев;Владимир;Павлович;10/09/1962;"""Либерально-демократическая партия России""";"Член фракции ""Либерально-демократическая партия России""";Член Комитета ГД по строительству и земельным отношениям | Член Комиссии ГД по законодательному обеспечению противодействия коррупции;02/12/2007;
Тепляков;Евгений;Нодариевич;9/08/1972;"""Либерально-демократическая партия России""";"Член фракции ""Либерально-демократическая партия России""";Член Комитета ГД по безопасности;02/12/2007;
Терентьев;Александр;Васильевич;1/01/1961;"""Справедливая Россия: родина/пенсионеры/жизнь""";"Член фракции ""Справедливая Россия""";Член Комитета ГД по строительству и земельным отношениям;02/12/2007;
Терентьев;Михаил;Борисович;14/05/1970;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по международным делам;02/12/2007;http://www.mterentiev.ru/
