Фамилия;Имя;Отчество;День рождения;Выдвинувшая партия;Фракция и должность;Состоит в комитетах;Срок окончания полномочий;Адрес сайта
Игошин;Игорь;Николаевич;11/12/1970;"""Единая Россия""";"Член фракции ""Единая Россия""";Заместитель председателя Комитета ГД по науке и наукоемким технологиям;02/12/2007;
Изотова;Галина;Сергеевна;3/05/1960;"""Единая Россия""";"Член фракции ""Единая Россия""";Первый заместитель председателя Комитета ГД по делам Федерации и региональной политике;02/12/2007;
Илюхин;Виктор;Иванович;1/03/1949;"""Коммунистическая партия Российской Федерации""";Член фракции Коммунистической партии Российской Федерации;Заместитель председателя Комитета ГД по конституционному законодательству и государственному строительству | Член Комиссии ГД по законодательному обеспечению противодействия коррупции;02/12/2007;http://www.iluhin.ru/
Исаев;Андрей;Константинович;1/10/1964;"""Единая Россия""";"Член фракции ""Единая Россия""";Председатель Комитета ГД по труду и социальной политике;02/12/2007;http://www.duma.gov.ru/isaev/
Исаев;Ризвангаджи;Абдулаевич;26/09/1960;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по строительству и земельным отношениям;02/12/2007;
Исаев;Эрнст;Фаритович;1/05/1962;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по аграрным вопросам;02/12/2007;
Исаев;Юрий;Олегович;1/01/1972;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по финансовому рынку;02/12/2007;
Исаков;Игорь;Анатольевич;14/01/1968;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по энергетике;08/10/2008;http://www.igorisakov.ru/
Искужин;Рамиль;Кабирович;5/03/1958;"""Единая Россия""";"Член фракции ""Единая Россия""";Заместитель председателя Комитета ГД по конституционному законодательству и государственному строительству;02/12/2007;
Иткулов;Салават;Гильмишарифович;23/06/1952;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по аграрным вопросам;02/12/2007;
Ишмуратова;Светлана;Ирековна;20/04/1972;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по физической культуре и спорту;02/12/2007;
Ищенко;Александр;Николаевич;9/07/1959;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по природным ресурсам, природопользованию и экологии;02/12/2007;
Кабаева;Алина;Маратовна;12/05/1983;"""Единая Россия""";"Член фракции ""Единая Россия""";Заместитель председателя Комитета ГД по делам молодежи;02/12/2007;http://www.kabaeva-alina.ru/
Кабанова;Валентина;Викторовна;10/10/1951;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по Регламенту и организации работы Государственной Думы;21/05/2008;
Казаков;Виктор;Алексеевич;4/04/1949;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по природным ресурсам, природопользованию и экологии | Член Счетной комиссии ГД;02/12/2007;
Казарин;Виктор;Николаевич;10/03/1960;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по природным ресурсам, природопользованию и экологии;02/04/2010;
Калашников;Леонид;Иванович;6/08/1960;"""Коммунистическая партия Российской Федерации""";Член фракции Коммунистической партии Российской Федерации;Первый заместитель председателя Комитета ГД по международным делам;02/04/2010;
Камалов;Хамит;Искарович;9/11/1958;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по бюджету и налогам;02/12/2007;
Капков;Сергей;Александрович;10/12/1975;"""Единая Россия""";"Член фракции ""Единая Россия""";Первый заместитель председателя Комитета ГД по информационной политике, информационным технологиям и связи;02/12/2007;
Карабасов;Юрий;Сергеевич;12/06/1939;"""Единая Россия""";"Член фракции ""Единая Россия""";Первый заместитель председателя Комитета ГД по образованию;02/12/2007;
Карелин;Александр;Александрович;19/09/1967;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по международным делам;02/12/2007;
Карелова;Галина;Николаевна;29/06/1950;"""Единая Россия""";"Член фракции ""Единая Россия""";Заместитель председателя Комитета ГД по бюджету и налогам;02/12/2007;
Кармазина;Раиса;Васильевна;9/01/1951;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по бюджету и налогам;02/12/2007;http://www.karmazina.ru/
Карпович;Наталья;Николаевна;19/09/1972;"""Единая Россия""";"Член фракции ""Единая Россия""";Первый заместитель председателя Комитета ГД по вопросам семьи, женщин и детей;02/12/2007;
Касьянов;Игорь;Николаевич;27/06/1961;"""Справедливая Россия: родина/пенсионеры/жизнь""";"Член фракции ""Справедливая Россия""";Член Комитета ГД по экономической политике и предпринимательству;02/12/2007;
Кауфман;Юрий;Алексеевич;23/07/1949;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по делам общественных объединений и религиозных организаций;02/12/2007;http://www.fpok.ru/duma.html/
Кашин;Борис;Сергеевич;3/07/1951;"""Коммунистическая партия Российской Федерации""";Член фракции Коммунистической партии Российской Федерации;Член Комитета ГД по финансовому рынку;02/12/2007;
Кашин;Владимир;Иванович;10/08/1948;"""Коммунистическая партия Российской Федерации""";Член фракции Коммунистической партии Российской Федерации;Заместитель председателя Комитета ГД по природным ресурсам, природопользованию и экологии;02/12/2007;
Квитка;Иван;Иванович;4/05/1967;"""Единая Россия""";"Член фракции ""Единая Россия""";Заместитель председателя Комитета ГД по промышленности;02/12/2007;
Кидяев;Виктор;Борисович;9/07/1956;"""Единая Россия""";"Член фракции ""Единая Россия""";Первый заместитель председателя Комитета ГД по вопросам местного самоуправления;22/05/2009;
Киекбаев;Мурат;Джелилович;30/10/1959;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по делам национальностей;02/12/2007;
Клименко;Владимир;Витальевич;18/09/1954;"""Единая Россия""";"Член фракции ""Единая Россия""";Первый заместитель председателя Комитета ГД по транспорту;02/12/2007;
Климов;Андрей;Аркадьевич;9/11/1954;"""Единая Россия""";"Член фракции ""Единая Россия""";Заместитель председателя Комитета ГД по международным делам;02/12/2007;http://www.klimow.ru/
Клинцевич;Франц;Адамович;15/06/1957;"""Единая Россия""";"Член фракции ""Единая Россия""";Первый заместитель председателя Комитета ГД по делам ветеранов;02/12/2007;
Клюкин;Александр;Николаевич;5/07/1957;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по международным делам | Член Счетной комиссии ГД;02/12/2007;http://www.anklyukin.ru/
Кнорр;Андрей;Филиппович;11/05/1957;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по аграрным вопросам;02/12/2007;http://www.knorraf.ru/
Кобзон;Иосиф;Давыдович;11/09/1937;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по информационной политике, информационным технологиям и связи;02/12/2007;
Ковалев;Николай;Дмитриевич;6/08/1949;"""Единая Россия""";"Член фракции ""Единая Россия""";Председатель Комитета ГД по делам ветеранов;02/12/2007;
Коган;Александр;Борисович;26/02/1969;"""Единая Россия""";"Член фракции ""Единая Россия""";Заместитель председателя Комитета ГД по бюджету и налогам;02/12/2007;http://www.abkogan.ru/
Коган;Юрий;Владимирович;20/11/1950;"""Либерально-демократическая партия России""";"Член фракции ""Либерально-демократическая партия России""";Член Комитета ГД по собственности;02/12/2007;
Козерадский;Анатолий;Александрович;3/03/1948;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по делам Содружества Независимых Государств и связям с соотечественниками;02/12/2007;
Козловский;Александр;Александрович;1/09/1944;"""Единая Россия""";"Член фракции ""Единая Россия""";Заместитель председателя Комитета ГД по международным делам;02/12/2007;
Кокошин;Андрей;Афанасьевич;26/10/1945;"""Единая Россия""";"Заместитель руководителя фракции ""Единая Россия""";Первый заместитель председателя Комитета ГД по науке и наукоемким технологиям;02/12/2007;
Колесников;Владимир;Ильич;14/05/1948;"""Единая Россия""";"Член фракции ""Единая Россия""";Заместитель председателя Комитета ГД по безопасности | Заместитель председателя Комиссии ГД по законодательному обеспечению противодействия коррупции | Член Комиссии ГД по рассмотрению расходов федерального бюджета, направленных на обеспечение обороны и государственной безопасности РФ;02/12/2007;
Колесников;Олег;Алексеевич;11/09/1968;"""Либерально-демократическая партия России""";"Член фракции ""Либерально-демократическая партия России""";Член Комитета ГД по аграрным вопросам;02/12/2007;
Колесников;Сергей;Иванович;1/06/1950;"""Единая Россия""";"Член фракции ""Единая Россия""";Заместитель председателя Комитета ГД по охране здоровья;02/12/2007;http://www.kolesnikov-science.ru/
Коломейцев;Виктор;Андреевич;1/06/1953;"""Коммунистическая партия Российской Федерации""";Член фракции Коммунистической партии Российской Федерации;Член Комитета ГД по бюджету и налогам;02/12/2007;
Коломейцев;Николай;Васильевич;1/09/1956;"""Коммунистическая партия Российской Федерации""";Член фракции Коммунистической партии Российской Федерации;Член Комитета ГД по труду и социальной политике;02/12/2007;
Комаров;Фоат;Фагимович;26/06/1958;"""Единая Россия""";"Член фракции ""Единая Россия""";Заместитель председателя Комитета ГД по транспорту;02/12/2007;
Комиссаров;Валерий;Яковлевич;12/04/1965;"""Единая Россия""";"Член фракции ""Единая Россия""";Председатель Комитета ГД по информационной политике, информационным технологиям и связи;02/12/2007;http://www.duma.gov.ru/komissarov/
Комоедов;Владимир;Петрович;14/08/1950;"""Коммунистическая партия Российской Федерации""";Член фракции Коммунистической партии Российской Федерации;Член Комитета ГД по обороне | Член Комиссии ГД по рассмотрению расходов федерального бюджета, направленных на обеспечение обороны и государственной безопасности РФ;02/12/2007;
Кондакова;Елена;Владимировна;30/03/1957;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по бюджету и налогам;02/12/2007;
Кондратов;Руслан;Викторович;9/06/1972;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по международным делам;02/12/2007;
Копылов;Василий;Васильевич;24/11/1967;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по бюджету и налогам | Член Комиссии ГД по рассмотрению расходов федерального бюджета, направленных на обеспечение обороны и государственной безопасности РФ;02/12/2007;
Корендясев;Анатолий;Александрович;28/02/1946;"""Единая Россия""";"Член фракции ""Единая Россия""";Заместитель председателя Комитета ГД по делам Содружества Независимых Государств и связям с соотечественниками;02/12/2007;
Коржаков;Александр;Васильевич;31/01/1950;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по обороне;02/12/2007;
Корниенко;Алексей;Викторович;22/07/1976;"""Коммунистическая партия Российской Федерации""";Член фракции Коммунистической партии Российской Федерации;Член Комитета ГД по строительству и земельным отношениям;02/12/2007;
Корнилов;Валерий;Александрович;6/03/1964;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по промышленности;02/12/2007;
Коробов;Максим;Леонидович;3/12/1957;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по транспорту;02/12/2007;
Косачев;Константин;Иосифович;17/09/1962;"""Единая Россия""";"Член фракции ""Единая Россия""";Председатель Комитета ГД по международным делам;02/12/2007;
Кравченко;Валерий;Николаевич;1/01/1947;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по транспорту;02/12/2007;
Крашенинников;Павел;Владимирович;21/06/1964;"""Единая Россия""";"Член фракции ""Единая Россия""";Председатель Комитета ГД по гражданскому, уголовному, арбитражному и процессуальному законодательству;02/12/2007;
Кузнецов;Василий;Федотович;13/02/1947;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по бюджету и налогам;02/12/2007;http://www.kuznecov.ru/
Кузьмина;Алла;Владимировна;23/05/1963;"""Справедливая Россия: родина/пенсионеры/жизнь""";"Член фракции ""Справедливая Россия""";Заместитель председателя Комитета ГД по делам общественных объединений и религиозных организаций;02/12/2007;
Кузьмичева;Екатерина;Ивановна;16/01/1955;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по образованию;02/12/2007;
Кулик;Геннадий;Васильевич;20/01/1935;"""Единая Россия""";"Член фракции ""Единая Россия""";Заместитель председателя Комитета ГД по бюджету и налогам;02/12/2007;
Куликов;Александр;Дмитриевич;3/12/1950;"""Коммунистическая партия Российской Федерации""";Член фракции Коммунистической партии Российской Федерации;Член Комитета ГД по безопасности | Член Комиссии ГД по рассмотрению расходов федерального бюджета, направленных на обеспечение обороны и государственной безопасности РФ | Член Комиссии ГД по законодательному обеспечению противодействия коррупции;02/12/2007;
Куликов;Олег;Анатольевич;28/01/1946;"""Коммунистическая партия Российской Федерации""";Член фракции Коммунистической партии Российской Федерации;Член Комитета ГД по охране здоровья;02/12/2007;
Кульмухаметов;Энгельс;Варисович;1/10/1951;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по безопасности;02/12/2007;
Купцов;Валентин;Александрович;4/12/1937;"""Коммунистическая партия Российской Федерации""";Член фракции Коммунистической партии Российской Федерации;Председатель Комитета ГД по делам национальностей;02/12/2007;http://www.duma.gov.ru/kuptcov/
Кущев;Вячеслав;Митрофанович;25/12/1948;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по культуре;02/12/2007;http://www.kushchev.ru/
Лазарев;Георгий;Геннадьевич;11/09/1952;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по экономической политике и предпринимательству;02/12/2007;
Лахова;Екатерина;Филипповна;26/05/1948;"""Единая Россия""";"Член фракции ""Единая Россия""";Заместитель председателя Комитета ГД по труду и социальной политике;02/12/2007;
Лебедев;Андрей;Ярославович;29/07/1962;"""Либерально-демократическая партия России""";"Член фракции ""Либерально-демократическая партия России""";Член Комитета ГД по безопасности;06/03/2008;
Лебедев;Игорь;Владимирович;27/09/1972;"""Либерально-демократическая партия России""";"Руководитель фракции ""Либерально-демократическая партия России""";Член Комитета ГД по конституционному законодательству и государственному строительству;02/12/2007;
Лебедев;Олег;Владимирович;21/03/1964;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по промышленности;02/12/2007;
Лебедь;Алексей;Иванович;14/04/1955;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по Регламенту и организации работы Государственной Думы;28/01/2009;
Левичев;Николай;Владимирович;28/05/1953;"""Справедливая Россия: родина/пенсионеры/жизнь""";"Руководитель фракции ""Справедливая Россия""";Член Комитета ГД по науке и наукоемким технологиям;02/12/2007;http://www.levichev.info/
Левченко;Сергей;Георгиевич;2/11/1953;"""Коммунистическая партия Российской Федерации""";Член фракции Коммунистической партии Российской Федерации;Член Комитета ГД по энергетике;02/12/2007;
Лекарева;Вера;Александровна;4/01/1948;"""Справедливая Россия: родина/пенсионеры/жизнь""";"Член фракции ""Справедливая Россия""";Член Комитета ГД по бюджету и налогам;02/12/2007;
Леонтьев;Георгий;Карпеевич;14/04/1951;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по энергетике | Член Комиссии ГД по мандатным вопросам и вопросам депутатской этики;02/12/2007;
Липатов;Юрий;Александрович;14/06/1953;"""Единая Россия""";"Член фракции ""Единая Россия""";Председатель Комитета ГД по энергетике | Член Комиссии ГД по законодательному обеспечению деятельности субъектов естественных монополий, государственных корпораций и коммерческих организаций с государственным участием;02/12/2007;
Лисицын;Анатолий;Иванович;26/06/1947;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по транспорту;02/12/2007;
Локоть;Анатолий;Евгеньевич;18/01/1959;"""Коммунистическая партия Российской Федерации""";Член фракции Коммунистической партии Российской Федерации;Член Комитета ГД по вопросам местного самоуправления | Член Счетной комиссии ГД;02/12/2007;
Ломакин-Румянцев;Александр;Вадимович;19/12/1954;"""Справедливая Россия: родина/пенсионеры/жизнь""";"Член фракции ""Справедливая Россия""";Член Комитета ГД по труду и социальной политике;02/12/2007;
Луговой;Андрей;Константинович;19/09/1966;"""Либерально-демократическая партия России""";"Член фракции ""Либерально-демократическая партия России""";Член Комитета ГД по безопасности;02/12/2007;http://www.aklugovoy.ru/
Лукьянова;Кира;Александровна;23/11/1962;"""Справедливая Россия: родина/пенсионеры/жизнь""";"Член фракции ""Справедливая Россия""";Член Комитета ГД по экономической политике и предпринимательству;02/12/2007;
Макаров;Андрей;Михайлович;22/07/1954;"""Единая Россия""";"Член фракции ""Единая Россия""";Заместитель председателя Комитета ГД по бюджету и налогам;02/12/2007;
Максимова;Надежда;Сергеевна;13/01/1942;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по бюджету и налогам | Член Счетной комиссии ГД | Член Комиссии ГД по рассмотрению расходов федерального бюджета, направленных на обеспечение обороны и государственной безопасности РФ;02/12/2007;
Малашенко;Виктор;Александрович;19/01/1955;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по делам Содружества Независимых Государств и связям с соотечественниками;02/12/2007;http://www.vmalashenko.ru/
Малеев;Валерий;Геннадьевич;28/05/1964;"""Единая Россия""";"Член фракции ""Единая Россия""";Заместитель председателя Комитета ГД по природным ресурсам, природопользованию и экологии | Член Счетной комиссии ГД;02/12/2007;
Мальчихин;Валерий;Андреевич;31/08/1946;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по природным ресурсам, природопользованию и экологии;02/12/2007;
Манаров;Муса;Хираманович;22/03/1951;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по обороне | Член Комиссии ГД по рассмотрению расходов федерального бюджета, направленных на обеспечение обороны и государственной безопасности РФ;02/12/2007;
Маркин;Эдуард;Витальевич;19/12/1968;"""Либерально-демократическая партия России""";"Член фракции ""Либерально-демократическая партия России""";Член Комитета ГД по финансовому рынку;02/12/2007;
Марков;Владимир;Константинович;4/10/1955;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по энергетике;02/12/2007;
Марков;Сергей;Александрович;18/04/1958;"""Единая Россия""";"Член фракции ""Единая Россия""";Заместитель председателя Комитета ГД по делам общественных объединений и религиозных организаций;02/12/2007;
Матханов;Владимир;Эдуардович;1/08/1972;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по природным ресурсам, природопользованию и экологии;02/12/2007;
Медведев;Евгений;Николаевич;12/11/1964;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по экономической политике и предпринимательству;02/12/2007;
Медведев;Павел;Алексеевич;13/08/1940;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по финансовому рынку;02/12/2007;http://pavelmedvedev.ru/
Медведев;Юрий;Германович;25/08/1949;"""Единая Россия""";"Член фракции ""Единая Россия""";Заместитель председателя Комитета ГД по собственности;02/12/2007;http://www.duma.gov.ru/medvedev/
Мединский;Владимир;Ростиславович;18/07/1970;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по экономической политике и предпринимательству | Член Комиссии ГД по законодательному обеспечению деятельности субъектов естественных монополий, государственных корпораций и коммерческих организаций с государственным участием;02/12/2007;http://www.duma.gov.ru/medinskiy/
Мельников;Иван;Иванович;7/08/1950;"""Коммунистическая партия Российской Федерации""";Член фракции Коммунистической партии Российской Федерации;Заместитель Председателя ГД | Член Комитета ГД по образованию;02/12/2007;
Мизулина;Елена;Борисовна;9/12/1954;"""Справедливая Россия: родина/пенсионеры/жизнь""";"Член фракции ""Справедливая Россия""";Председатель Комитета ГД по вопросам семьи, женщин и детей;02/12/2007;
Михалев;Борис;Владимирович;3/01/1960;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по Регламенту и организации работы Государственной Думы;16/12/2009;
Михеев;Олег;Леонидович;1/11/1967;"""Справедливая Россия: родина/пенсионеры/жизнь""";"Член фракции ""Справедливая Россия""";Член Комитета ГД по финансовому рынку;02/12/2007;
Мищенко;Максим;Николаевич;9/07/1977;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по делам молодежи;02/12/2007;
Морозов;Андрей;Андреевич;2/07/1952;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по промышленности;02/12/2007;
Морозов;Олег;Викторович;5/11/1953;"""Единая Россия""";"Заместитель руководителя фракции ""Единая Россия""";Первый заместитель Председателя ГД | Член Комитета ГД по бюджету и налогам;02/12/2007;http://www.morozov-ov.ru/
Москалец;Александр;Петрович;25/05/1947;"""Единая Россия""";"Член фракции ""Единая Россия""";Первый заместитель председателя Комитета ГД по конституционному законодательству и государственному строительству;02/12/2007;
Москалькова;Татьяна;Николаевна;30/05/1955;"""Справедливая Россия: родина/пенсионеры/жизнь""";"Член фракции ""Справедливая Россия""";Заместитель председателя Комитета ГД по делам Содружества Независимых Государств и связям с соотечественниками;02/12/2007;
Музыкаев;Аднан;Абдулаевич;8/03/1959;"""Справедливая Россия: родина/пенсионеры/жизнь""";"Член фракции ""Справедливая Россия""";Член Комитета ГД по финансовому рынку;02/12/2007;
Мукабенова;Марина;Алексеевна;20/03/1982;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по вопросам семьи, женщин и детей;02/12/2007;
Муравленко;Сергей;Викторович;2/03/1950;"""Коммунистическая партия Российской Федерации""";Член фракции Коммунистической партии Российской Федерации;Член Комитета ГД по природным ресурсам, природопользованию и экологии;02/12/2007;
Мурзабаева;Салия;Шарифьяновна;13/09/1957;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по охране здоровья;02/12/2007;
Мусалимов;Николай;Николаевич;20/07/1953;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по делам Федерации и региональной политике;02/12/2007;
Мусатов;Михаил;Иванович;23/08/1950;"""Либерально-демократическая партия России""";"Член фракции ""Либерально-демократическая партия России""";Член Комитета ГД по обороне | Член Комиссии ГД по рассмотрению расходов федерального бюджета, направленных на обеспечение обороны и государственной безопасности РФ;02/12/2007;
Муслимов;Ильяз;Булатович;14/02/1963;"""Единая Россия""";"Член фракции ""Единая Россия""";Заместитель председателя Комитета ГД по информационной политике, информационным технологиям и связи;02/12/2007;
Муцоев;Зелимхан;Аликоевич;13/10/1959;"""Единая Россия""";"Член фракции ""Единая Россия""";Заместитель председателя Комитета ГД по международным делам;02/12/2007;http://www.duma.gov.ru/mutsoev/
Назаров;Андрей;Геннадьевич;28/04/1970;"""Единая Россия""";"Член фракции ""Единая Россия""";Заместитель председателя Комитета ГД по гражданскому, уголовному, арбитражному и процессуальному законодательству;02/12/2007;http://www.anazarov.ru/
Напсо;Юрий;Аисович;17/04/1973;"""Либерально-демократическая партия России""";"Член фракции ""Либерально-демократическая партия России""";Заместитель председателя Комитета ГД по гражданскому, уголовному, арбитражному и процессуальному законодательству;02/12/2007;
Неверов;Сергей;Иванович;21/12/1961;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по образованию;02/12/2007;
Ненашев;Михаил;Петрович;18/03/1960;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по обороне;02/12/2007;http://www.rosflot.ru/
Нефедов;Виктор;Леонидович;2/05/1959;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по аграрным вопросам;02/12/2007;
Никитин;Владимир;Степанович;5/04/1948;"""Коммунистическая партия Российской Федерации""";Член фракции Коммунистической партии Российской Федерации;Член Комитета ГД по делам Содружества Независимых Государств и связям с соотечественниками;02/12/2007;
Никонов;Борис;Иванович;3/09/1946;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по природным ресурсам, природопользованию и экологии;02/12/2007;
Новиков;Дмитрий;Георгиевич;12/09/1969;"""Коммунистическая партия Российской Федерации""";Член фракции Коммунистической партии Российской Федерации;Член Комитета ГД по культуре;02/12/2007;
Новикова;Клавдия;Николаевна;7/03/1957;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по труду и социальной политике;02/12/2007;
Носкова;Ольга;Владимировна;14/06/1955;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по информационной политике, информационным технологиям и связи;02/12/2007;
Нюдюрбегов;Асан;Нюдюрбегович;13/02/1961;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по природным ресурсам, природопользованию и экологии;02/12/2007;http://www.nudurbegov.ru/
Обухов;Сергей;Павлович;5/10/1958;"""Коммунистическая партия Российской Федерации""";Член фракции Коммунистической партии Российской Федерации;Член Комитета ГД по делам общественных объединений и религиозных организаций;02/12/2007;
Озеров;Сергей;Павлович;12/04/1955;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по экономической политике и предпринимательству;02/12/2007;
Ольшанский;Николай;Михайлович;19/04/1939;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по образованию;02/12/2007;http://www.duma.gov.ru/olshansky/
Онищенко;Ольга;Владимировна;15/07/1972;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по финансовому рынку;02/12/2007;
Осадчий;Сергей;Юрьевич;10/09/1960;"""Единая Россия""";"Член фракции ""Единая Россия""";Заместитель председателя Комитета ГД по природным ресурсам, природопользованию и экологии;02/12/2007;
Осипов;Вячеслав;Константинович;29/08/1937;"""Единая Россия""";"Член фракции ""Единая Россия""";Заместитель председателя Комитета ГД по науке и наукоемким технологиям;02/12/2007;
Останина;Нина;Александровна;26/12/1955;"""Коммунистическая партия Российской Федерации""";Член фракции Коммунистической партии Российской Федерации;Член Комитета ГД по вопросам семьи, женщин и детей;02/12/2007;
Островский;Алексей;Владимирович;14/01/1976;"""Либерально-демократическая партия России""";"Член фракции ""Либерально-демократическая партия России""";Председатель Комитета ГД по делам Содружества Независимых Государств и связям с соотечественниками;02/12/2007;
Острягин;Анатолий;Иванович;24/02/1950;"""Единая Россия""";"Член фракции ""Единая Россия""";Заместитель председателя Комитета ГД по делам национальностей;02/12/2007;
Панина;Елена;Владимировна;29/04/1948;"""Единая Россия""";"Член фракции ""Единая Россия""";Заместитель председателя Комитета ГД по промышленности;02/12/2007;
Панков;Николай;Васильевич;5/01/1965;"""Единая Россия""";"Член фракции ""Единая Россия""";Заместитель председателя Комитета ГД по конституционному законодательству и государственному строительству | Член Комиссии ГД по мандатным вопросам и вопросам депутатской этики;02/12/2007;
Панов;Валерий;Викторович;1/03/1961;"""Единая Россия""";"Член фракции ""Единая Россия""";Первый заместитель председателя Комитета ГД по строительству и земельным отношениям;02/12/2007;
Паутов;Виктор;Николаевич;5/07/1953;"""Коммунистическая партия Российской Федерации""";Член фракции Коммунистической партии Российской Федерации;Член Комитета ГД по бюджету и налогам;02/12/2007;
Пекарев;Владимир;Янович;4/11/1958;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по Регламенту и организации работы Государственной Думы;02/12/2007;
Пекпеев;Сергей;Тимурович;4/09/1956;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по делам Федерации и региональной политике;02/12/2007;
Пепеляева;Лиана;Витальевна;9/12/1965;"""Единая Россия""";"Член фракции ""Единая Россия""";Заместитель председателя Комитета ГД по финансовому рынку;02/12/2007;http://www.duma.gov.ru/pepelyaeva/
Песковская;Юлия;Анатольевна;10/07/1956;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по труду и социальной политике;02/12/2007;
Петров;Сергей;Анатольевич;16/08/1954;"""Справедливая Россия: родина/пенсионеры/жизнь""";"Член фракции ""Справедливая Россия""";Член Комитета ГД по бюджету и налогам;02/12/2007;
Петров;Сергей;Валериевич;19/04/1965;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по строительству и земельным отношениям | Член Комиссии ГД по рассмотрению расходов федерального бюджета, направленных на обеспечение обороны и государственной безопасности РФ;02/12/2007;
Пехтин;Владимир;Алексеевич;9/12/1950;"""Единая Россия""";"Первый заместитель руководителя фракции ""Единая Россия""";Председатель Комиссии ГД по законодательному обеспечению деятельности субъектов естественных монополий, государственных корпораций и коммерческих организаций с государственным участием | Член Комитета ГД по бюджету и налогам;02/12/2007;
