Категория эмитента;Идентификатор;Имя;Организация-эмитент;Область использования
Производители программного обеспечения;1.2.643.2.20;C=RU,o=REG2,o=MGR SYSTEMS;Общество с ограниченной ответственностью«МЖР-СИСТЕМС» (ООО «МЖР-С»)г .М осква;Разработка программного обеспечения
Производители программного обеспечения;1.2.643.2.21;C=RU,o=REG2,o=LLC Top Cross;ООО «Топ Кросс» гМосква;Информационные технологии
Производители программного обеспечения;1.2.643.2.22;"C=RU,o=REG2,o=JSC ""MD PREI""";ЗАО МО ПНИЭИ г .М осква;Производитель программного обеспечения
Производители программного обеспечения;1.2.643.2.23;"C=RU,o=REG2,o=""Informational system Krista"" Ltd";ООО «Информационные системы « Криста », г Рыбинск;Производство программного обеспечения
Производители программного обеспечения;1.2.643.2.24;C=RU,o=REG2,o=LLC Validata;"ООО "" Валидата "", г Москва";Системы криптографической защиты информации с использованием инфраструктуры открытых ключей. Защита электронной почты. Защита WEB Сервера. Защита документооборота. Защита данных в формате XML. Виртуальные частные сети (VPN).
Производители программного обеспечения;1.2.643.2.25;C=RU,o=REG2,o=FGUP NII Voskhod;Федеральное государственное унитарное предприятие «Научно-исследовательский институт «Восход» (ФГУП НИИ «Восход»), г Москва;Производство программного обеспечения
Производители программного обеспечения;1.2.643.2.26;"C=RU,o=REG2,o=JSC ""Kaluga Astral""";ЗАО “Калуга Астрал ”, г Калуга;Разработка программно-технических комплексов для реализации электронного защищенного документооборота.
Производители программного обеспечения;1.2.643.2.27;C=RU,o=REG2,o=GRCC Coding system;Федеральное Государственное Унитарное предприятие «Главный научно-исследовательский вычислительный центр» (ФГУП « ГлавНИВЦ ») Управления делами Президента Российской Федерации, г Москва;Кодирование информации в медицинских информационных системах, разработка автоматизированных систем обмена стандартизованными медицинскими документами с использованием ЭЦП.
Производители программного обеспечения;1.2.643.2.28;C=RU,o=REG2,o=E-Cube Ltd;ООО “ И-Куб ” ,г . Санкт-Петербург;Разработка и сопровождение программного обеспечения в области финансов и электронной коммерции
Производители программного обеспечения;1.2.643.2.29;"C=RU,o=REG2,o=CJSC ""CFT""";ЗАО«ЦЕНТР ФИНАНСОВЫХ ТЕХНОЛОГИЙ»,г .Н овосибирск;"- информационно-вычислительное обслуживание;- разработка компьютерных программ."
Производители программного обеспечения;1.2.643.2.30;C=RU,o=REG2,o=Inet CA;Общество с ограниченной ответственностью «ИНЕТ» , гКемерово;Производители ПО
Производители программного обеспечения;1.2.643.2.31;"C=RU,o=REG2,o=JSC ""ELVIS-PLUS""";ОАО «ЭЛВИС-ПЛЮС» Москва, Зеленоград,;"Информационные технологии; защита информации; разработка программно-технических комплексов автоматизированных систем аутентификации и авторизации пользователей; обеспечение инфраструктуры открытых ключей; разработка систем и средств защиты информации на базе концепции защиты информации; защита программных средств от несанкционированного использования, разработка систем электронного документооборота с использованием ЭЦП."
Производители программного обеспечения;1.2.643.2.32;C=RU,o=REG2,o=PACIFICA;ООО «ПАЦИФИКА» г. Москва;"- разработка и реализация программного обеспечения неограниченному кругу юридических и физических лиц; -   сервисные и консультационные услуги в области программного обеспечения; - осуществление иных видов хозяйственной деятельности, не противоречащих действующему законодательству Российской Федерации."
Производители программного обеспечения;1.2.643.2.33;C=RU,o=REG2,o=Special Computer-Aided Design Bureau OKB SAPR;ЗАО «ОКБ САПР» Закрытое акционерное общество «Особое конструкторское бюро систем автоматизированного проектирования», г .М осква;ОКБ САПР разрабатывает и производит средства защиты информации, в том числе криптографические, семейств АККОРД тм и ШИПКА тм . Компанией создана методология аппаратной защиты, в основе которой – необходимость наличия резидентного аппаратного компонента компьютерной системы, обеспечивающего ее защиту от НСД. С 1997 года эта методология реализуется во всех изделиях ОКБ САПР.
Производители программного обеспечения;1.2.643.2.34;C=RU,o=REG2,o=EXPOBANK LTD;Коммерческий банк “ЭКСПОБАНК” , Москва;Идентификация собственного защищенного ПО, Автоматизированных систем аутентификации и авторизации пользователей
Производители программного обеспечения;1.2.643.2.35;C=RU,o=REG2,o=Absolute,Ltd.;"ООО ""Абсолют"" , Москва";Защита информации, системы юридически значимого электронного документооборота, автоматизированные системы аутентификации пользователей, инфраструктура открытых ключей
Производители программного обеспечения;1.2.643.2.36;C=RU,o=REG2,o=Russian telephone company;Закрытое акционерное общество «Русская телефонная компания» г. Санкт-Петербург;Производство телекоммуникационного оборудования с разработкой ПО для выпускаемой продукции.
Производители программного обеспечения;1.2.643.2.37;C=RU,o=REG2,o=XXXXX;Зарезервировано;Зарезервировано
Производители программного обеспечения;1.2.643.2.38;C=RU,o=REG2,o=Signal-COM JSC;ЗАО « Сигнал - КОМ », Москва;"Разработка средств криптографической защиты информации: инструментальные средства разработчика крипто-систем ; решения для организации PKI; системы защиты электронного документооборота; комплексы для построения VPN ; решения для защиты телефонных переговоров"
Производители программного обеспечения;1.2.643.2.39;C=RU,o=REG2,o=1 С Company,JSC;ЗАО «1С» , Москва,;Защита программных средств от несанкционированного использования, системы юридически значимого электронного документооборота, защита информации, инфраструктура открытых ключей
Производители программного обеспечения;1.2.643.2.40;C=ru,o=REG2,o=RINTECH Coding Scheme;Общество с ограниченной ответственностью «РИНТЕХ» (ООО «РИНТЕХ»), Москва, Зеленоград;Кодирование информации в медицинских информационных системах, защита персональной медицинской информации, разработка систем электронного документооборота с использованием ЭЦП.
Производители программного обеспечения;1.2.643.2.41;C=ru,o=REG2,o=Extrim pro company,Ltd.;"ООО ""Компания Экстрим про"", гЕкатеринбург";Идентификация программного обеспечения.
Производители программного обеспечения;1.2.643.2.42;C=ru,o=REG2,o=Specs;Общество с ограниченной ответственностью « Спецсистемы » Москва;Идентификация собственного защищенного ПО, Автоматизированных систем аутентификации и авторизации пользователей
Производители программного обеспечения;1.2.643.2.43;C=ru,o=REG2,o=Federal Public Health Institute;Федеральное государственное учреждение «Центральный научно–исследовательский институт организации и информатизации здравоохранения Федерального агентства по здравоохранению и социальному развитию»;"Область использования: ""Кодирование информации в медицинских информационных системах, защита персональной медицинской информации, разработка систем электронного документооборота с использованием ЭЦП""."
Производители программного обеспечения;1.2.643.2.44;C=ru,o=REG2,o=LLC Budget & Financial Technologies  ;"ООО ""Бюджетные и Финансовые Технологии"", Москва";Разработка, внедрение и сопровождение программного обеспечения для региональных и муниципальных органов государственной власти. Разработка систем электронного документооборота с использованием ЭЦП и систем юридически значимого электронного документооборота. Консалтинг в сфере управленческих и информационных технологий.
Производители программного обеспечения;1.2.643.2.45;"C=ru,o=REG2,o==""Digital technologies""";ООО «Цифровые технологии» Республика Марий Эл, г .Й ошкар-Ола;Системы юридически значимого электронного документооборота, защита информации, инфраструктура открытых ключей
Производители программного обеспечения;1.2.643.2.46;с=RU,o=REG2,o=CIT&S;Федеральное государственное научное учреждение «Центр информационных технологий и систем органов исполнительной власти»;Информационные технологии, информационно-телекоммуникационные системы, системы юридически значимого электронного документооборота, открытые ключи, инфраструктура открытых ключей,   виртуальные частные сети (VPN), защита информации и информационных технологий, шифрование данных, разработка программного обеспечения, разработка программно-технических комплексов, разработка средств защиты информации
Производители программного обеспечения;1.2.643.2.47;C=RU,o=REG2,o=Finnet-Sevice Ltd;"ООО ""ФИННЕТ-СЕРВИС""";Разработка программного обеспечения для обеспечения инфраструктуры открытых ключей
Производители программного обеспечения;1.2.643.2.48;C=RU,o=REG2,o=Data X/FLORIN Inc;ЗАО «ДАТА ИКС/ФЛОРИН»;Информационные технологии, разработка программного обеспечения, баз данных
Производители программного обеспечения;1.2.643.2.49;C=RU,o=REG2,o=RTS Ltd;"ООО ""Русское Техническое Общество""";Разработка программного обеспечения для информационных технологий,
Производители программного обеспечения;1.2.643.2.50;C=ru,o=REG2,OKTET Labs Ltd;ООО «ОКТЕТ Лабз »;Разработка программного обеспечения. Идентификация объектов, элементов данных, модулей. Спецификация протоколов и структур данных.
Производители программного обеспечения;1.2.643.2.51;C=ru,o=REG2,o=technokad  ;"Общество с ограниченной ответственностью "" ТехноКад ""   г. Москва,  ";Разработка программного обеспечения систем массового защищенного электронного документооборота  
Производители программного обеспечения;1.2.643.2.52;C=ru,o=REG2,o=Moscow State Institute Of Electronics And Mathematics (Technical University).    ;Государственное образовательное учреждение высшего профессионального образования «Московский государственный институт электроники и математики (технический университет)». Наименование на английском языке : Moscow State Institute Of Electronics And Mathematics (Technical University).  ;"Информационная безопасность; разработка и проведение исследований в области средств защиты информации."
Производители программного обеспечения;1.2.643.2.53;"C=ru,o=REG 2,o=Закрытое акционерное общество ""Специализированный Пенсионный Администратор""  ";Закрытое акционерное общество «Специализированный Пенсионный Администратор» Краткое название: (ЗАО «СПА») , Москва    ;Производители П О- ( Системы юридически значимого электронного документооборота, защита информации, инфраструктура открытых ключей )
Производители программного обеспечения;1.2.643.2.54;"C=ru,o=REG2,o=""Atlas- 2"",  JSC  ";Закрытое акционерное общество «Атлас-2» г. Владивосток;Информационные технологии, разработка программно-технических комплексов, системы юридически значимого электронного документооборота, защита информации, обеспечение инфраструктуры открытых ключей
Удостоверяющие центры;1.2.643.3;C=RU,o=REG3;;Регистрация удостоверяющих центров
Удостоверяющие центры;1.2.643.3.1;Зарезервировано;;
Удостоверяющие центры;1.2.643.3.2;"C=RU,o=REG3,o=JSC""UDC""";ЗАО “Удостоверяющий центр” (Санкт-Петербург);Защита информации, обеспечение инфраструктуры открытых ключей
