Категория эмитента;Идентификатор;Имя;Организация-эмитент;Область использования
Удостоверяющие центры;1.2.643.3.116;"C=ru,o=REG3,o=CA "" DiKey "" Ltd";ООО «УЦ « ДиКей » Удмуртская Республика, город Ижевск;Функции удостоверяющего центра, обеспечение инфраструктуры открытых ключей
Удостоверяющие центры;1.2.643.3.117;C=RU,O=REG 3,O=JSC SO UPS;Открытое акционерное общество «Системный оператор Единой энергетической системы», Москва;Регистрируемый объект и его наследники по дереву OID применяются в качестве: Удостоверяющий центр, защита информации, обеспечение инфраструктуры открытых ключей корпоративной информационной системы, обеспечение юридической значимости в системах электронного документооборота с использованием ЭЦП
Удостоверяющие центры;1.2.643.3.118;"C=ru,o=REG3,o="" Sibtel -Crypto"" Ltd";ООО « Сибтел - Крипто » “ Sibtel -Crypto” Ltd. г. Тюмень;Защита информации, обеспечение инфраструктуры открытых ключей
Удостоверяющие центры;1.2.643.3.119;C=RU,o=REG3,o=RTS Ltd;"ООО ""Русское Техническое Общество"", г Москва";Информационные технологии, обеспечение инфраструктуры открытых ключей, корпоративный удостоверяющий центр
Удостоверяющие центры;1.2.643.3.120;C=RU,o=REG3,o=Finnet-Sevice Ltd;"ООО ""ФИННЕТ-СЕРВИС""";Информационные технологии, обеспечение инфраструктуры открытых ключей, корпоративный удостоверяющий центр
Удостоверяющие центры;1.2.643.3.121;C=RU,o=REG3,o=Mos -broker;ООО « Мос-брокер » , Москва;Удостоверяющий центр
Удостоверяющие центры;1.2.643.3.122;"C=ru,o=REG3,o=State Enterprise ""Center of information technologies of Volgograd region""";Государственное учреждение «Центр информационных технологий Волгоградской области», Волгоград;Защита информации, обеспечение инфраструктуры открытых ключей
Удостоверяющие центры;1.2.643.3.123;C=ru,o=REG3,o=Certification Authority of Sberbank;Удостоверяющий центр Сбербанка России;Корпоративные информационные системы Сбербанка России ОАО, корпоративные информационные системы организаций, заключивших договор со Сбербанком России ОАО о предоставлении услуг удостоверяющего центра.
Удостоверяющие центры;1.2.643.3.124;Зарезервировано; ; 
Удостоверяющие центры;1.2.643.3.125;C=ru,o=REG3,o=TTC-Business,Ltd;Общество с ограниченной ответственностью « ТрансТелеКом - Бизнес», г .М осква;Информационные технологии, защита информации, обеспечение инфраструктуры открытых ключей, открытие подчиненных удостоверяющих центров, открытие центров регистрации, удостоверение и регистрация сертификатов ЭЦП, обеспечение юридической значимости в системах электронного документооборота.
Удостоверяющие центры;1.2.643.3.126;"C=RU,o=REG3,o="" Garant -Telecom"" Ltd";Общество с ограниченной ответственностью «Гарант-Телеком», г .С моленск;"Функции удостоверяющего центра. Разработка, внедрение и сопровождение систем электронного документооборота с использованием ЭЦП. Услуги по защите конфиденциальной информации в части: - разработки, производства шифровальных (криптографических) средств; - распространения шифровальных (криптографических) средств; - технического обслуживания шифровальных (криптографических) средств; - предоставления услуг в области шифрования информации."
Удостоверяющие центры;1.2.643.3.127;C=ru,o=REG3,o=STATE GIS CENTER   GOSGISCENTR  ;Федеральное государственное унитарное предприятие «Государственный научно-внедренческий центр геоинформационных систем и технологий»   ФГУП «ГОСГИСЦЕНТР»  ;Отраслевой удостоверяющий центр электронной цифровой подписи для цифровых топографических карт, открытых карт и навигационных карт
Удостоверяющие центры;1.2.643.3.128;C=ru,o=REG3,o=ATEK Ltd;"ООО "" АТЭК ""    ATEK,   Ltd., Н . Новгород";Использование в электронных торговых системах и в программном  обеспечении для организации юридически значимого документооборота , защиты информации, шифрования данных. Инфраструктура открытых ключей.
Удостоверяющие центры;1.2.643.3.129;"C=ru,o=REG3,o=LTD "" PermInterCom ""  ";ООО «Пермская Интернет Компания»  ;открытые ключи защита информации электронная цифровая подписьУдостоверяющий Центр АСКРИПТОР
Удостоверяющие центры;1.2.643.3.130;C=ru,o=REG3,o=Electronic express;ООО «Электронный экспресс»;Информационные технологии, Удостоверяющий центр ГАРАНТ
Удостоверяющие центры;1.2.643.3.131;C=ru,o=REG3,o=FGUP GNIVC FNS Russia;Федеральное государственное унитарное предприятие «Главный научно-исследовательский вычислительный центр Федеральной налоговой службы» (ФГУП ГНИВЦ ФНС России)  ;Защита информации, обеспечение инфраструктуры открытых ключей  
Удостоверяющие центры;1.2.643.3.132;C=ru,o=REG3,o=OOO Mechatronika  ;ООО «Компания « Мехатроника »;"Предоставление услуг специализированного оператора связи (в том числе – услуг подтверждения сроков пересылки электронных документов) в системах массового защищенного электронного документооборота; Информационные технологии, защита информации, обеспечение инфраструктуры открытых ключей;"
Удостоверяющие центры;1.2.643.3.133;C=ru,o=REG3,o=CA OOO   KavkazTexServis  ;"Общество с ограниченной ответственностью « КавказТехСервис »; г. Ставрополь,";Удостоверяющие центры
Удостоверяющие центры;1.2.643.3.134;C=ru,o=REG3,o=ZAO TaxNet  ;ЗАО « ТаксНет » Казань;Функции удостоверяющего центра, Взаимодействие между органами государственной власти. Защита информации. Обеспечение инфраструктуры открытых ключей.
Удостоверяющие центры;1.2.643.3.135;"C=ru,o=REG3,o=""NOVAG-SERVICES Society Limited"", ";Общество с Ограниченной Ответственностью «НОВАГ-СЕРВИС », Краснодарский край, г . Краснодар;Системы юридически значимого электронного документооборота, защита информации, обеспечение  инфраструктуры открытых ключей .
Удостоверяющие центры;1.2.643.3.136;C=ru,o=REG3,o=Federal service of the state registration,cadastre and cartography ( Rosreestr ) on Bashkortostan Republic                                                 ;Федеральная служба государственной регистрации, кадастра и картографии ( Росреестр ) по                                          Республике Башкортостан  ;Государственная регистрация прав на недвижимое имущество и сделок с ним, оказание государственных услуг в сфере ведения государственного кадастра недвижимости, осуществления государственного кадастрового учета недвижимого имущества, кадастровой деятельности, государственной кадастровой оценки земель, землеустройства, государственного мониторинга земель, геодезии и картографии, надзор за деятельностью саморегулируемых организаций оценщиков, контроль за деятельностью арбитражных управляющих и саморегулируемых организаций арбитражных управляющих.
Удостоверяющие центры;1.2.643.3.137;C=RU,o=REG3,o=LUKOIL-INFORM  ;Общество с ограниченной ответственностью «ЛУКОЙЛ-ИНФОРМ».  ;Информационно-технологическое обеспечение деятельности Группы «ЛУКОЙЛ»: системы юридически значимого электронного документооборота, защита информации, обеспечение инфраструктуры открытых ключей.  
Удостоверяющие центры;1.2.643.3.138;"C=ru,o=REG3,o=Regional Service Center ""Info- Buhgalter  ";ООО Региональный сервисный центр « Инфо-Бухгалтер », КБР, г .Н альчик;Удостоверяющий Центр и Специализированный оператор связи.
Удостоверяющие центры;1.2.643.3.139;"C=ru,o=REG3,o=State Enterprise ""Center of information systems of Pskov region""    ";Государственное учреждение «Центр информационных систем Псковской области»  ;Удостоверяющий центр, защита информации, обеспечение инфраструктуры открытых ключей, обеспечение юридической значимости в системах электронного документооборота.
Удостоверяющие центры;1.2.643.3.140;C=ru,o=REG3,o=Ltd Tomskaja trankovaja kompanija C 01.05.2010   C=ru,o=REG3,o=Ltd Kompleksnye uslugi bezopasnosti    ;ООО Томская транковая компания C 01.05.2010 ООО Комплексные услуги безопасности, Томск  ;"Функции удостоверяющего центра; Обеспечение инфраструктуры открытых ключей; Защита информации .  "
Удостоверяющие центры;1.2.643.3.141;C=RU,o=REG3,o=FSS  ;Фонд социального страхования Российской Федерации , Москва,;Функции удостоверяющего центра. Защита информации, обеспечение инфраструктуры открытых ключей.  
Удостоверяющие центры;1.2.643.3.141.1;C=RU,o=REG3,o=FSS,о=EIIS  ; ;Единая интегрированная информационная система Фонда социального страхования Российской Федерации (ЕИИС «СОЦСТРАХ»)
Удостоверяющие центры;1.2.643.3.141.1.1;C=RU,o=REG3,o=FSS,о=EIIS,о=REG_NUM                   ; ;Реестровый номер страхователя в системе Фонда   социального страхования Российской Федерации
Удостоверяющие центры;1.2.643.3.141.1.2;C=RU,o=REG 3,o=FSS,о=EIIS,о=KPS _ NUM; ;Код подразделения Фонда социального страхования Российской Федерации
Удостоверяющие центры;1.2.643.3.142;C=RU,o=REG3,o=NOU RNTC EKIB  ;Негосударственное образовательное учреждение «Региональный научно-технический центр экономической и информационной безопасности»     Сокращенное наименование:   НОУ «РНТЦ ЭКИБ»     г. Рязань;Образовательная деятельность Научная деятельность. Защита информации. Информационные технологии. Аттестация объектов информатизации. Функции удостоверяющего центра . Системы юридически значимого электронного документооборота
Удостоверяющие центры;1.2.643.3.143;C=RU,o=REG3,o=technokad  ;"Общество с ограниченной ответственностью "" ТехноКад "" Москва,";Защита информации, обеспечение инфраструктуры открытых ключей  
Удостоверяющие центры;1.2.643.3.144;С=ru,o=REG3,o=NOU RNTC EKIB  ;Негосударственное образовательное учреждение «Региональный научно-технический центр экономической и информационной безопасности»     Сокращенное наименование:   НОУ «РНТЦ ЭКИБ»     , г . Рязань,;Образовательная деятельность Научная деятельность. Защита информации. Информационные технологии. Аттестация объектов информатизации. Функции удостоверяющего центра . Системы юридически значимого электронного документооборота .  
Удостоверяющие центры;1.2.643.3.145;"C=ru,o=REG3,o=FSUO ""STANDARTINFORM""  ";ФГУП «СТАНДАРТИНФОРМ»  ;Удостоверяющий центр Федерального агентства по техническому регулированию и метрологии, информационные технологии, защита информации, обеспечение инфраструктуры открытых ключей, системы электронного документооборота с использованием ЭЦП , обеспечение юридической значимости в системах электронного документооборота.
Удостоверяющие центры;1.2.643.3.146;"C=ru,o=REG 3,o=ЗАО ""Центр информационной безопасности""";ЗАО «Центр информационной безопасности» Г.Новосибирск;"Удостоверяющий центр; Формирование ЭЦП; выпуск сертификатов ЭЦП"
Удостоверяющие центры;1.2.643.3.147;"C=ru,o=REG3,o="" Infoline "",Ltd";ООО “ИНФОЛАЙН” г. Петрозаводск, ул.  ;Информационные технологии, защита информации, обеспечение инфраструктуры открытых ключей
Удостоверяющие центры;1.2.643.3.148;C=ru,o=REG3,o=ООО Evrica;ООО “Эврика”,   Россия, г . Ульяновск,;Открытые ключи, виртуальные частные сети (VPN), защита информации, шифрование данных, удостоверение и регистрация сертификатов ЭЦП
Удостоверяющие центры;1.2.643.3.149;C=ru,o=REG3,o=Moscow State Institute Of Electronics And Mathematics (Technical University).;Государственное образовательное учреждение высшего профессионального образования «Московский государственный институт электроники и математики (технический университет)».;Удостоверяющий центр. Выполнение функций удостоверяющего центра, внутренний защищенный документооборот.
Удостоверяющие центры;1.2.643.3.150;"C=ru,o=REG3,o=LLC "" CryptoStandart ""  ";ООО « КриптоСтандарт », г. Ростов-на-Дону,;Удостоверяющий центр. Услуги удостоверяющего центра и иные услуги в области использования ЭЦП, защита информации, обеспечение инфраструктуры открытых ключей, обеспечение юридической значимости в системах электронного документооборота
Удостоверяющие центры;1.2.643.3.151;"C=ru,o=REG3,o="" С enter of information protection "" Grif "".  ";ООО «Центр защиты информации «Гриф »., Томск    ;Защита информации, обеспечение инфраструктуры открытых ключей, информационные технологии, разработка программного обеспечения.
Удостоверяющие центры;1.2.643.3.152; ; ; 
Удостоверяющие центры;1.2.643.3.153;"C=ru,o=REG 3,o==Закрытое акционерное общество ""Специализированный Пенсионный Администратор""  ";«Специализированный Пенсионный Администратор» г . Москва  ;Удостоверяющие центры ( Услуги удостоверяющего центра )
Удостоверяющие центры;1.2.643.3.154;"C=ru,o=REG3,o=Federal state unitary enterprise "" ZaschitaInfoTrans of the Ministry of Transport of the Russian Federation""";СПбФ ФГУП « ЗащитаИнфоТранс » , г . Санкт-Петербург  ;Удостоверяющий центр .
Удостоверяющие центры;1.2.643.3.155;"C=ru,o=REG3,o=NP ""Russian Trading System"" Stock Exchange  ";Некоммерческое партнерство «Фондовая биржа «Российская Торговая Система»  ;Функции удостоверяющего центра, Системы электронного документооборота с использованием ЭЦП, защита информации, инфраструктура открытых ключей
Удостоверяющие центры;1.2.643.3.156;C=ru,o=REG3,o=Key-L Ltd.  ;ООО «Ключ-Л» (Удостоверяющий центр) г. Челябинск;Информационные технологии, защита информации, обеспечение инфраструктуры открытых ключей, открытие центров регистрации
Удостоверяющие центры;1.2.643.3.157;"C=ru,o=REG3,o=""Digital control systems"" Ltd (DCS Ltd),                ";«Digital control systems» Ltd (DCS Ltd),   г . Калининград;Удостоверяющий центр, обеспечение инфраструктуры открытых ключей, защита информации
БАНКИ;1.2.643.4;C=RU,o=REG4;;Регистрация объектов, связанных с банковской деятельностью
БАНКИ;1.2.643.4.1;C=RU,o=REG4,o=IMPEXBANK (c 23.11.2007)     C=ru,o=REG4,o=RAIFFEISENBANK;ОАО “ Импексбак ( c 23.11.2007)     Закрытое акционерное общество « Райффайзенбанк »  ;Использование в программном обеспечении системы электронного документооборота предприятия   Корпоративная информационная система, обеспечение инфраструктуры открытых ключей корпоративной информационной системы
БАНКИ;1.2.643.4.2;C=RU,o=REG4,o=BANK SEVERNAYA KAZNA;Банк “Северная казна” ОАО;Корпоративная информационная система
БАНКИ;1.2.643.4.3;C=RU,o=REG4,o=ALFA-BANK;"ОАО ""Альфа-Банк""";Использование в программном обеспечении банка ,с вязанным с обменом электронными документами
БАНКИ;1.2.643.4.4;C=RU,o=REG4,o=V.Bank;Банк Возрождение (ОАО);Корпоративная информационная система, обеспечение инфраструктуры открытых ключей корпоративной информационной системы
БАНКИ;1.2.643.4.5;C=RU,o=REG4,o=JSC METKOMBANK;"ОАО ""МЕТКОМБАНК""";Корпоративная информационная система, обеспечение инфраструктуры открытых ключей корпоративной информационной системы
БАНКИ;1.2.643.4.6;"C=RU,o=REG4,o=Public Joint-Stock Company "" Baltiyskiy Bank""";ОАО « Балтийский Банк »;Защита информации, обеспечение инфраструктуры открытых ключей
БАНКИ;1.2.643.4.7(до16.06.2008–Славинвестбанк);C=RU,o=REG4,o=BTA Bank;«БТА Банк»;Использование в программном   обеспечении банка, связанным с обменом электронными документами.
БАНКИ;1.2.643.4.8;C=ru,o=REG4,o=EXPOBANK LTD;Коммерческий банк “ЭКСПОБАНК”;Корпоративная информационная система, обеспечение инфраструктуры открытых ключей корпоративной информационной системы
БАНКИ;1.2.643.4.9;C=ru,o=REG4,o=JOINT-STOCK BANK REGION;"Акционерный банк «Регион» (открытое акционерное общество); г. Ярославль,";Использование в программном   обеспечении банка, связанным с обменом электронными документами.
БАНКИ;1.2.643.4.10;"C=ru,o=REG4,o=JSC""Krayinvestbank """;Открытое акционерное общество «Краснодарский краевой инвестиционный банк», г .К раснодар;Кредитная организация, действующая на основании лицензии Банка России. (Корпоративная информационная система, обеспечение инфраструктуры открытых ключей корпоративной информационной системы)
БАНКИ;1.2.643.4.11;C=ru,o=REG4,o=Kedr JCSC CB;ЗАО КБ «КЕДР», г .К расноярск;Защита информации. Обеспечение инфраструктуры открытых ключей в корпоративных системах электронного документооборота.
БАНКИ;1.2.643.4.12;"C=ru,o=REG4,o=OJSC ""URALSIB""";"Открытое акционерное общество ""БАНК УРАЛСИБ""";Защита информации. Обеспечение инфраструктуры открытых ключей в корпоративных системах электронного документооборота.
БАНКИ;1.2.643.4.13;"C=ru,o=REG4,o=O JSC ""Russ-Bank""";ОАО «Русь-Банк»;Использование в системах электронного документооборота Банка
БАНКИ;1.2.643.4.14;C=ru,o=REG4,o=GPB (O JSC);""" Газпромбанк "" (Открытое акционерное общество) Москва";Защита информации. Обеспечение инфраструктуры открытых ключей в корпоративных системах электронного документооборота.
БАНКИ;1.2.643.4.15;C=ru,o=REG4,o=  SKB-BANK;"ОАО "" СКБ - банк "" Екатеринбург";Функции удостоверяющего центра. Обеспечение инфраструктуры открытых ключей в корпоративных системах электронного документооборота.
БАНКИ;1.2.643.4.16;"C=ru,o=REG4,o=  Joint-Stock Commercial Bank ""Moscow Bank for Reconstruction and Development""";Акционерный Коммерческий Банк «Московский Банк Реконструкции и Развития» (открытое акционерное общество) АКБ « МБРР » ( ОАО )  ;Защита информации, обеспечение инфраструктуры открытых ключей .  
БАНКИ;1.2.643.4.17;C=ru,o=REG4,o=Rosselkhozbank  ;Открытое Акционерное Общество «Российский Сельскохозяйственный банк» (ОАО « Россельхозбанк ») гМосква;Защита информации. Обеспечение инфраструктуры открытых ключей в корпоративных системах электронного документооборота
БАНКИ;1.2.643.4.18;C=ru,o=REG4,o=Joint Stock Commercial Bank INVESTBANK Open-end JSC  ;Акционерный коммерческий банк « Инвестбанк » (открытое акционерное общество)  ;Защита информации, обеспечение инфраструктуры открытых ключей.
Органы государственной власти;1.2.643.5;C=RU,o=REG5;;Регистрация объектов, связанных с государственной деятельностью
"Федеральные органы исполнительной власти (в соответствии с Указом Президента Российской Федерации от 12 мая 2008 года N 724 г. ""Вопросы системы и структуры федеральных органов исполнительной власти"" с учетом изменений, включая 19 января 2010 года)";1.2.643.5.1.1; ;Министерство внутренних дел Российской Федерации; 
"Федеральные органы исполнительной власти (в соответствии с Указом Президента Российской Федерации от 12 мая 2008 года N 724 г. ""Вопросы системы и структуры федеральных органов исполнительной власти"" с учетом изменений, включая 19 января 2010 года)";1.2.643.5.1.2; ;Министерство Российской Федерации по делам гражданской обороны, чрезвычайным ситуациям и ликвидации последствий стихийных бедствий; 
"Федеральные органы исполнительной власти (в соответствии с Указом Президента Российской Федерации от 12 мая 2008 года N 724 г. ""Вопросы системы и структуры федеральных органов исполнительной власти"" с учетом изменений, включая 19 января 2010 года)";1.2.643.5.1.3; ;Министерство иностранных дел Российской Федерации; 
"Федеральные органы исполнительной власти (в соответствии с Указом Президента Российской Федерации от 12 мая 2008 года N 724 г. ""Вопросы системы и структуры федеральных органов исполнительной власти"" с учетом изменений, включая 19 января 2010 года)";1.2.643.5.1.4; ;Министерство обороны Российской Федерации; 
"Федеральные органы исполнительной власти (в соответствии с Указом Президента Российской Федерации от 12 мая 2008 года N 724 г. ""Вопросы системы и структуры федеральных органов исполнительной власти"" с учетом изменений, включая 19 января 2010 года)";1.2.643.5.1.5; ;Министерство юстиции Российской Федерации; 
"Федеральные органы исполнительной власти (в соответствии с Указом Президента Российской Федерации от 12 мая 2008 года N 724 г. ""Вопросы системы и структуры федеральных органов исполнительной власти"" с учетом изменений, включая 19 января 2010 года)";1.2.643.5.1.6; ;Государственная фельдъегерская служба Российской Федерации (федеральная служба); 
"Федеральные органы исполнительной власти (в соответствии с Указом Президента Российской Федерации от 12 мая 2008 года N 724 г. ""Вопросы системы и структуры федеральных органов исполнительной власти"" с учетом изменений, включая 19 января 2010 года)";1.2.643.5.1.7; ;Служба внешней разведки Российской Федерации (федеральная служба); 
"Федеральные органы исполнительной власти (в соответствии с Указом Президента Российской Федерации от 12 мая 2008 года N 724 г. ""Вопросы системы и структуры федеральных органов исполнительной власти"" с учетом изменений, включая 19 января 2010 года)";1.2.643.5.1.8; ;Федеральная служба безопасности Российской Федерации (федеральная служба); 
"Федеральные органы исполнительной власти (в соответствии с Указом Президента Российской Федерации от 12 мая 2008 года N 724 г. ""Вопросы системы и структуры федеральных органов исполнительной власти"" с учетом изменений, включая 19 января 2010 года)";1.2.643.5.1.9; ;Федеральная служба Российской Федерации по контролю за оборотом наркотиков (федеральная служба); 
"Федеральные органы исполнительной власти (в соответствии с Указом Президента Российской Федерации от 12 мая 2008 года N 724 г. ""Вопросы системы и структуры федеральных органов исполнительной власти"" с учетом изменений, включая 19 января 2010 года)";1.2.643.5.1.10; ;Федеральная служба охраны Российской Федерации (федеральная служба); 
"Федеральные органы исполнительной власти (в соответствии с Указом Президента Российской Федерации от 12 мая 2008 года N 724 г. ""Вопросы системы и структуры федеральных органов исполнительной власти"" с учетом изменений, включая 19 января 2010 года)";1.2.643.5.1.11; ;Главное управление специальных программ Президента Российской Федерации (федеральное агентство); 
"Федеральные органы исполнительной власти (в соответствии с Указом Президента Российской Федерации от 12 мая 2008 года N 724 г. ""Вопросы системы и структуры федеральных органов исполнительной власти"" с учетом изменений, включая 19 января 2010 года)";1.2.643.5.1.12; ;Управление делами Президента Российской Федерации (федеральное агентство); 
"Федеральные органы исполнительной власти (в соответствии с Указом Президента Российской Федерации от 12 мая 2008 года N 724 г. ""Вопросы системы и структуры федеральных органов исполнительной власти"" с учетом изменений, включая 19 января 2010 года)";1.2.643.5.1.13; ;Министерство здравоохранения и социального развития Российской Федерации; 
"Федеральные органы исполнительной власти (в соответствии с Указом Президента Российской Федерации от 12 мая 2008 года N 724 г. ""Вопросы системы и структуры федеральных органов исполнительной власти"" с учетом изменений, включая 19 января 2010 года)";1.2.643.5.1.14; ;Министерство культуры Российской Федерации; 
"Федеральные органы исполнительной власти (в соответствии с Указом Президента Российской Федерации от 12 мая 2008 года N 724 г. ""Вопросы системы и структуры федеральных органов исполнительной власти"" с учетом изменений, включая 19 января 2010 года)";1.2.643.5.1.15; ;Министерство образования и науки Российской Федерации; 
"Федеральные органы исполнительной власти (в соответствии с Указом Президента Российской Федерации от 12 мая 2008 года N 724 г. ""Вопросы системы и структуры федеральных органов исполнительной власти"" с учетом изменений, включая 19 января 2010 года)";1.2.643.5.1.16; ;Министерство природных ресурсов и экологии Российской Федерации; 
"Федеральные органы исполнительной власти (в соответствии с Указом Президента Российской Федерации от 12 мая 2008 года N 724 г. ""Вопросы системы и структуры федеральных органов исполнительной власти"" с учетом изменений, включая 19 января 2010 года)";1.2.643.5.1.17; ;Министерство промышленности и торговли Российской Федерации; 
"Федеральные органы исполнительной власти (в соответствии с Указом Президента Российской Федерации от 12 мая 2008 года N 724 г. ""Вопросы системы и структуры федеральных органов исполнительной власти"" с учетом изменений, включая 19 января 2010 года)";1.2.643.5.1.18; ;Министерство регионального развития Российской Федерации; 
"Федеральные органы исполнительной власти (в соответствии с Указом Президента Российской Федерации от 12 мая 2008 года N 724 г. ""Вопросы системы и структуры федеральных органов исполнительной власти"" с учетом изменений, включая 19 января 2010 года)";1.2.643.5.1.19; ;Министерство связи и массовых коммуникаций Российской Федерации; 
"Федеральные органы исполнительной власти (в соответствии с Указом Президента Российской Федерации от 12 мая 2008 года N 724 г. ""Вопросы системы и структуры федеральных органов исполнительной власти"" с учетом изменений, включая 19 января 2010 года)";1.2.643.5.1.20; ;Министерство сельского хозяйства Российской Федерации; 
"Федеральные органы исполнительной власти (в соответствии с Указом Президента Российской Федерации от 12 мая 2008 года N 724 г. ""Вопросы системы и структуры федеральных органов исполнительной власти"" с учетом изменений, включая 19 января 2010 года)";1.2.643.5.1.21; ;Министерство спорта, туризма и молодежной политики Российской Федерации; 
"Федеральные органы исполнительной власти (в соответствии с Указом Президента Российской Федерации от 12 мая 2008 года N 724 г. ""Вопросы системы и структуры федеральных органов исполнительной власти"" с учетом изменений, включая 19 января 2010 года)";1.2.643.5.1.22; ;Министерство транспорта Российской Федерации; 
"Федеральные органы исполнительной власти (в соответствии с Указом Президента Российской Федерации от 12 мая 2008 года N 724 г. ""Вопросы системы и структуры федеральных органов исполнительной власти"" с учетом изменений, включая 19 января 2010 года)";1.2.643.5.1.23; ;Министерство финансов Российской Федерации; 
"Федеральные органы исполнительной власти (в соответствии с Указом Президента Российской Федерации от 12 мая 2008 года N 724 г. ""Вопросы системы и структуры федеральных органов исполнительной власти"" с учетом изменений, включая 19 января 2010 года)";1.2.643.5.1.24; ;Министерство экономического развития Российской Федерации; 
"Федеральные органы исполнительной власти (в соответствии с Указом Президента Российской Федерации от 12 мая 2008 года N 724 г. ""Вопросы системы и структуры федеральных органов исполнительной власти"" с учетом изменений, включая 19 января 2010 года)";1.2.643.5.1.24.1;C=ru,o=REG5,o=Rosstat  ;Федеральная служба государственной статистики;Удостоверяющий центр для внутреннего корпоративного документооборота
"Федеральные органы исполнительной власти (в соответствии с Указом Президента Российской Федерации от 12 мая 2008 года N 724 г. ""Вопросы системы и структуры федеральных органов исполнительной власти"" с учетом изменений, включая 19 января 2010 года)";1.2.643.5.1.24.2;C=ru,o=REG 5,o=Росреестр;Федеральная служба государственной регистрации, кадастра и картографии;Предоставление государственных услуг и исполнение государственных функций в электронном виде в сфере государственной регистрации прав на недвижимое имущество и сделок с ним, осуществления государственного кадастрового учета недвижимого имущества
"Федеральные органы исполнительной власти (в соответствии с Указом Президента Российской Федерации от 12 мая 2008 года N 724 г. ""Вопросы системы и структуры федеральных органов исполнительной власти"" с учетом изменений, включая 19 января 2010 года)";1.2.643.5.1.24.3; ;Федеральное агентство по государственным резервам; 
"Федеральные органы исполнительной власти (в соответствии с Указом Президента Российской Федерации от 12 мая 2008 года N 724 г. ""Вопросы системы и структуры федеральных органов исполнительной власти"" с учетом изменений, включая 19 января 2010 года)";1.2.643.5.1.24.4; ;Федеральное агентство по управлению государственным имуществом; 
"Федеральные органы исполнительной власти (в соответствии с Указом Президента Российской Федерации от 12 мая 2008 года N 724 г. ""Вопросы системы и структуры федеральных органов исполнительной власти"" с учетом изменений, включая 19 января 2010 года)";1.2.643.5.1.25; ;Министерство энергетики Российской Федерации; 
"Федеральные органы исполнительной власти (в соответствии с Указом Президента Российской Федерации от 12 мая 2008 года N 724 г. ""Вопросы системы и структуры федеральных органов исполнительной власти"" с учетом изменений, включая 19 января 2010 года)";1.2.643.5.1.26; ;Федеральная антимонопольная служба; 
"Федеральные органы исполнительной власти (в соответствии с Указом Президента Российской Федерации от 12 мая 2008 года N 724 г. ""Вопросы системы и структуры федеральных органов исполнительной власти"" с учетом изменений, включая 19 января 2010 года)";1.2.643.5.1.27; ;Федеральная таможенная служба; 
"Федеральные органы исполнительной власти (в соответствии с Указом Президента Российской Федерации от 12 мая 2008 года N 724 г. ""Вопросы системы и структуры федеральных органов исполнительной власти"" с учетом изменений, включая 19 января 2010 года)";1.2.643.5.1.28; ;Федеральная служба по регулированию алкогольного рынка; 
"Федеральные органы исполнительной власти (в соответствии с Указом Президента Российской Федерации от 12 мая 2008 года N 724 г. ""Вопросы системы и структуры федеральных органов исполнительной власти"" с учетом изменений, включая 19 января 2010 года)";1.2.643.5.1.29; ;Федеральная служба по тарифам; 
"Федеральные органы исполнительной власти (в соответствии с Указом Президента Российской Федерации от 12 мая 2008 года N 724 г. ""Вопросы системы и структуры федеральных органов исполнительной власти"" с учетом изменений, включая 19 января 2010 года)";1.2.643.5.1.30; ;Федеральная служба по финансовому мониторингу; 
"Федеральные органы исполнительной власти (в соответствии с Указом Президента Российской Федерации от 12 мая 2008 года N 724 г. ""Вопросы системы и структуры федеральных органов исполнительной власти"" с учетом изменений, включая 19 января 2010 года)";1.2.643.5.1.31; ;Федеральная служба по финансовым рынкам; 
"Федеральные органы исполнительной власти (в соответствии с Указом Президента Российской Федерации от 12 мая 2008 года N 724 г. ""Вопросы системы и структуры федеральных органов исполнительной власти"" с учетом изменений, включая 19 января 2010 года)";1.2.643.5.1.32; ;Федеральное космическое агентство; 
"Федеральные органы исполнительной власти (в соответствии с Указом Президента Российской Федерации от 12 мая 2008 года N 724 г. ""Вопросы системы и структуры федеральных органов исполнительной власти"" с учетом изменений, включая 19 января 2010 года)";1.2.643.5.1.33; ;Федеральное агентство по обустройству государственной границы Российской Федерации; 
"Федеральные органы исполнительной власти (в соответствии с Указом Президента Российской Федерации от 12 мая 2008 года N 724 г. ""Вопросы системы и структуры федеральных органов исполнительной власти"" с учетом изменений, включая 19 января 2010 года)";1.2.643.5.1.34; ;Федеральное агентство по поставкам вооружения, военной, специальной техники и материальных средств; 
"Федеральные органы исполнительной власти (в соответствии с Указом Президента Российской Федерации от 12 мая 2008 года N 724 г. ""Вопросы системы и структуры федеральных органов исполнительной власти"" с учетом изменений, включая 19 января 2010 года)";1.2.643.5.1.35; ;Федеральное агентство по рыболовству; 
Орган законодательной власти;1.2.643.5.2;C=ru,o=State Duma of Federal assembly of the Russian Federation;Аппарат Государственной Думы Федерального Собрания Российской Федерации;Удостоверяющий центр Государственной Думы Федерального Собрания Российской Федерации, взаимодействие между органами государственной власти, информационные технологии, защита информации, обеспечение инфраструктуры открытых ключей, системы электронного документооборота с использованием ЭЦП
Субъекты Российской Федерации (номера в соответствии с автомобильными кодами регионов);1.2.643.5.3;C=RU,o=REG5,o=SRF;; 
